"",temperature,humidite,force_moyenne_du_vecteur_de_vent,force_du_vecteur_de_vent_max,pluie_intensite_max,date,quartier,sismicite,concentration_gaz,pluie_totale,catastrophe
1613,29.9,54.5,5.1,12.5,0.0,2170-06-22,4,0.64,164.9,833.18,0
1614,29.9,54.5,5.1,12.5,0.0,2170-06-22,5,0.47,149.59,559.65,3
1725,31.3,63.1,6.8,12.1,0.1,2170-06-23,1,0.75,184.66,474.61,3
1726,31.3,63.1,6.8,12.1,0.1,2170-06-23,2,0.69,155.37,619.55,0
1727,31.3,63.1,6.8,12.1,0.1,2170-06-23,3,0.71,189.86,132.32,3
1728,31.3,63.1,6.8,12.1,0.1,2170-06-23,4,0.4,131.17,869.26,0
1729,31.3,63.1,6.8,12.1,0.1,2170-06-23,5,0.59,135.11,941.07,0
1840,30.4,57.6,5.6,12.1,0.0,2170-06-24,1,0.75,247.3,118.0,2
1841,30.4,57.6,5.6,12.1,0.0,2170-06-24,2,0.52,165.39,653.13,3
1842,30.4,57.6,5.6,12.1,0.0,2170-06-24,3,0.78,296.98,633.45,2
1843,30.4,57.6,5.6,12.1,0.0,2170-06-24,4,0.37,185.68,892.36,3
1844,30.4,57.6,5.6,12.1,0.0,2170-06-24,5,0.38,101.46,511.42,0
1955,35.0,48.5,2.3,5.9,0.0,2170-06-25,1,0.85,286.29,188.69,3
1956,35.0,48.5,2.3,5.9,0.0,2170-06-25,2,0.85,236.61,397.57,3
1957,35.0,48.5,2.3,5.9,0.0,2170-06-25,3,0.95,280.44,119.64,2
1958,35.0,48.5,2.3,5.9,0.0,2170-06-25,4,0.34,155.88,707.43,0
1959,35.0,48.5,2.3,5.9,0.0,2170-06-25,5,0.45,166.66,861.0,0
2070,36.5,45.6,5.2,13.1,0.0,2170-06-26,1,0.66,221.99,153.62,2
2071,36.5,45.6,5.2,13.1,0.0,2170-06-26,2,0.67,184.73,805.53,0
2072,36.5,45.6,5.2,13.1,0.0,2170-06-26,3,0.84,233.07,453.1,2
2073,36.5,45.6,5.2,13.1,0.0,2170-06-26,4,0.58,124.92,450.29,3
2074,36.5,45.6,5.2,13.1,0.0,2170-06-26,5,0.68,173.79,108.08,3
2185,31.8,65.3,3.2,7.1,0.1,2170-06-27,1,0.87,163.55,430.94,3
2186,31.8,65.3,3.2,7.1,0.1,2170-06-27,2,0.73,293.13,734.3,1
2187,31.8,65.3,3.2,7.1,0.1,2170-06-27,3,0.61,214.63,300.8,2
2188,31.8,65.3,3.2,7.1,0.1,2170-06-27,4,0.6,154.23,58.41,0
2189,31.8,65.3,3.2,7.1,0.1,2170-06-27,5,0.6,178.29,482.31,0
2295,32.2,40.5,6.8,14.4,0.0,2170-06-28,1,0.86,274.61,404.79,2
2296,32.2,40.5,6.8,14.4,0.0,2170-06-28,2,0.99,292.97,904.8,1
2297,32.2,40.5,6.8,14.4,0.0,2170-06-28,3,0.62,254.67,239.78,3
2298,32.2,40.5,6.8,14.4,0.0,2170-06-28,4,0.36,182.98,389.01,3
2299,32.2,40.5,6.8,14.4,0.0,2170-06-28,5,0.51,160.8,148.7,0
2400,32.4,43.1,11.7,22.0,0.0,2170-06-29,1,0.7,151.96,668.71,3
2401,32.4,43.1,11.7,22.0,0.0,2170-06-29,2,1.0,229.72,781.37,3
2402,32.4,43.1,11.7,22.0,0.0,2170-06-29,3,0.94,225.46,78.61,2
2403,32.4,43.1,11.7,22.0,0.0,2170-06-29,4,0.45,130.49,715.17,0
2404,32.4,43.1,11.7,22.0,0.0,2170-06-29,5,0.38,136.09,12.2,0
2620,31.4,50.4,3.5,8.3,0.0,2170-06-30,1,0.9,216.03,708.33,2
2621,31.4,50.4,3.5,8.3,0.0,2170-06-30,2,0.89,211.36,891.62,1
2622,31.4,50.4,3.5,8.3,0.0,2170-06-30,3,0.91,274.44,392.93,2
2623,31.4,50.4,3.5,8.3,0.0,2170-06-30,4,0.31,163.05,405.98,3
2624,31.4,50.4,3.5,8.3,0.0,2170-06-30,5,0.47,174.28,798.58,3
90,38.2,37.3,2.4,7.9,0.0,2170-07-01,1,0.99,281.67,188.49,2
91,38.2,37.3,2.4,7.9,0.0,2170-07-01,2,0.51,213.83,168.29,0
92,38.2,37.3,2.4,7.9,0.0,2170-07-01,3,0.82,191.08,498.32,3
93,38.2,37.3,2.4,7.9,0.0,2170-07-01,4,0.52,113.55,994.06,0
94,38.2,37.3,2.4,7.9,0.0,2170-07-01,5,0.61,162.76,929.16,3
1290,41.3,39.3,3.2,8.4,0.0,2170-07-02,1,0.6,275.14,243.74,3
1291,41.3,39.3,3.2,8.4,0.0,2170-07-02,2,0.92,293.03,559.51,1
1292,41.3,39.3,3.2,8.4,0.0,2170-07-02,3,0.8,253.52,343.64,2
1293,41.3,39.3,3.2,8.4,0.0,2170-07-02,4,0.42,195.18,464.99,0
1294,41.3,39.3,3.2,8.4,0.0,2170-07-02,5,0.41,149.43,212.19,0
2525,37.0,55.4,2.9,6.0,0.0,2170-07-03,1,0.69,226.72,20.63,3
2526,37.0,55.4,2.9,6.0,0.0,2170-07-03,2,0.85,160.61,476.65,3
2527,37.0,55.4,2.9,6.0,0.0,2170-07-03,3,0.97,190.95,94.82,3
2528,37.0,55.4,2.9,6.0,0.0,2170-07-03,4,0.57,193.98,930.98,0
2529,37.0,55.4,2.9,6.0,0.0,2170-07-03,5,0.43,153.96,923.18,0
2800,36.4,54.0,4.5,10.3,0.0,2170-07-04,1,0.73,274.67,425.16,2
2801,36.4,54.0,4.5,10.3,0.0,2170-07-04,2,0.82,297.24,94.96,2
2802,36.4,54.0,4.5,10.3,0.0,2170-07-04,3,0.88,232.91,685.66,3
2803,36.4,54.0,4.5,10.3,0.0,2170-07-04,4,0.57,191.63,978.46,0
2804,36.4,54.0,4.5,10.3,0.0,2170-07-04,5,0.51,168.34,631.35,3
2915,34.2,54.7,3.8,13.9,0.1,2170-07-05,1,0.86,255.23,380.34,2
2916,34.2,54.7,3.8,13.9,0.1,2170-07-05,2,0.82,228.46,131.42,2
2917,34.2,54.7,3.8,13.9,0.1,2170-07-05,3,0.67,170.38,186.24,3
2918,34.2,54.7,3.8,13.9,0.1,2170-07-05,4,0.7,161.2,699.25,3
2919,34.2,54.7,3.8,13.9,0.1,2170-07-05,5,0.32,171.91,331.44,0
3025,33.3,57.9,3.7,7.8,0.0,2170-07-06,1,0.68,168.57,293.01,3
3026,33.3,57.9,3.7,7.8,0.0,2170-07-06,2,0.63,222.37,719.11,1
3027,33.3,57.9,3.7,7.8,0.0,2170-07-06,3,0.57,272.91,132.84,3
3028,33.3,57.9,3.7,7.8,0.0,2170-07-06,4,0.58,161.26,423.6,0
3029,33.3,57.9,3.7,7.8,0.0,2170-07-06,5,0.65,191.85,463.19,0
3140,32.4,48.1,5.6,13.4,0.0,2170-07-07,1,0.89,151.63,399.54,3
3141,32.4,48.1,5.6,13.4,0.0,2170-07-07,2,0.9,172.98,418.53,0
3142,32.4,48.1,5.6,13.4,0.0,2170-07-07,3,0.5,254.35,355.54,3
3143,32.4,48.1,5.6,13.4,0.0,2170-07-07,4,0.56,191.5,55.24,0
3144,32.4,48.1,5.6,13.4,0.0,2170-07-07,5,0.55,186.69,979.31,0
3255,30.9,44.1,5.3,13.2,0.0,2170-07-08,1,0.58,270.63,126.82,3
3256,30.9,44.1,5.3,13.2,0.0,2170-07-08,2,0.8,251.4,568.6,1
3257,30.9,44.1,5.3,13.2,0.0,2170-07-08,3,0.61,288.6,94.1,2
3258,30.9,44.1,5.3,13.2,0.0,2170-07-08,4,0.43,164.98,569.26,0
3259,30.9,44.1,5.3,13.2,0.0,2170-07-08,5,0.61,124.17,644.31,0
3370,33.8,47.1,1.2,0.0,0.0,2170-07-09,1,0.82,274.8,521.34,2
3371,33.8,47.1,1.2,0.0,0.0,2170-07-09,2,0.6,236.06,925.91,0
3372,33.8,47.1,1.2,0.0,0.0,2170-07-09,3,0.92,188.07,504.78,3
3373,33.8,47.1,1.2,0.0,0.0,2170-07-09,4,0.47,122.02,822.15,0
3374,33.8,47.1,1.2,0.0,0.0,2170-07-09,5,0.54,152.1,992.43,0
205,32.1,44.3,6.6,11.5,0.0,2170-07-10,1,0.63,297.16,45.55,2
206,32.1,44.3,6.6,11.5,0.0,2170-07-10,2,0.73,153.15,776.89,0
207,32.1,44.3,6.6,11.5,0.0,2170-07-10,3,0.79,282.53,523.0,3
208,32.1,44.3,6.6,11.5,0.0,2170-07-10,4,0.64,109.75,92.52,0
209,32.1,44.3,6.6,11.5,0.0,2170-07-10,5,0.39,129.46,989.91,0
310,36.8,44.1,3.7,9.1,0.0,2170-07-11,1,0.64,167.51,771.94,3
311,36.8,44.1,3.7,9.1,0.0,2170-07-11,2,0.77,252.23,333.47,3
312,36.8,44.1,3.7,9.1,0.0,2170-07-11,3,0.67,198.09,10.27,3
313,36.8,44.1,3.7,9.1,0.0,2170-07-11,4,0.63,131.13,449.74,0
314,36.8,44.1,3.7,9.1,0.0,2170-07-11,5,0.5,197.12,238.89,0
420,32.1,63.6,8.9,16.6,0.0,2170-07-12,1,0.57,239.36,57.0,3
421,32.1,63.6,8.9,16.6,0.0,2170-07-12,2,0.56,250.94,695.66,0
422,32.1,63.6,8.9,16.6,0.0,2170-07-12,3,0.55,168.01,33.24,3
423,32.1,63.6,8.9,16.6,0.0,2170-07-12,4,0.63,100.87,957.68,0
424,32.1,63.6,8.9,16.6,0.0,2170-07-12,5,0.7,106.99,780.82,3
530,27.3,55.5,14.6,24.4,0.1,2170-07-13,1,0.53,172.03,641.69,3
531,27.3,55.5,14.6,24.4,0.1,2170-07-13,2,0.9,183.84,797.93,0
532,27.3,55.5,14.6,24.4,0.1,2170-07-13,3,0.73,209.22,733.47,3
533,27.3,55.5,14.6,24.4,0.1,2170-07-13,4,0.5,141.66,698.66,0
534,27.3,55.5,14.6,24.4,0.1,2170-07-13,5,0.57,111.01,132.15,0
640,29.7,57.0,10.9,20.0,0.0,2170-07-14,1,0.72,295.89,309.88,3
641,29.7,57.0,10.9,20.0,0.0,2170-07-14,2,0.62,172.71,631.35,0
642,29.7,57.0,10.9,20.0,0.0,2170-07-14,3,0.55,286.79,344.61,3
643,29.7,57.0,10.9,20.0,0.0,2170-07-14,4,0.51,182.15,785.1,0
644,29.7,57.0,10.9,20.0,0.0,2170-07-14,5,0.6,191.01,611.45,3
750,33.9,50.4,6.8,12.7,0.0,2170-07-15,1,0.56,277.41,147.35,3
751,33.9,50.4,6.8,12.7,0.0,2170-07-15,2,0.74,197.31,607.24,3
752,33.9,50.4,6.8,12.7,0.0,2170-07-15,3,0.76,168.14,458.03,3
753,33.9,50.4,6.8,12.7,0.0,2170-07-15,4,0.44,129.1,145.0,0
754,33.9,50.4,6.8,12.7,0.0,2170-07-15,5,0.51,178.71,832.11,0
855,9.4,31.4,3.1,6.3,0.0,2170-07-16,1,0.59,267.65,541.38,3
856,9.4,31.4,3.1,6.3,0.0,2170-07-16,2,0.99,155.61,146.46,3
857,9.4,31.4,3.1,6.3,0.0,2170-07-16,3,0.65,275.31,256.87,2
858,9.4,31.4,3.1,6.3,0.0,2170-07-16,4,0.67,169.94,517.13,0
859,9.4,31.4,3.1,6.3,0.0,2170-07-16,5,0.62,151.37,923.11,3
965,19.9,28.0,3.8,7.4,0.0,2170-07-17,1,0.67,155.16,336.11,3
966,19.9,28.0,3.8,7.4,0.0,2170-07-17,2,0.65,284.39,852.61,1
967,19.9,28.0,3.8,7.4,0.0,2170-07-17,3,0.71,266.76,130.4,2
968,19.9,28.0,3.8,7.4,0.0,2170-07-17,4,0.35,112.13,511.98,0
969,19.9,28.0,3.8,7.4,0.0,2170-07-17,5,0.36,101.72,910.15,0
1075,40.8,41.4,6.9,14.3,0.0,2170-07-18,1,0.81,196.3,790.06,3
1076,40.8,41.4,6.9,14.3,0.0,2170-07-18,2,0.61,160.6,734.8,3
1077,40.8,41.4,6.9,14.3,0.0,2170-07-18,3,0.94,184.08,465.53,3
1078,40.8,41.4,6.9,14.3,0.0,2170-07-18,4,0.53,142.05,977.11,0
1079,40.8,41.4,6.9,14.3,0.0,2170-07-18,5,0.56,116.0,228.01,0
1185,38.5,45.5,3.9,8.8,0.0,2170-07-19,1,0.55,208.9,613.6,3
1186,38.5,45.5,3.9,8.8,0.0,2170-07-19,2,0.85,223.6,863.62,2
1187,38.5,45.5,3.9,8.8,0.0,2170-07-19,3,0.62,278.96,523.72,2
1188,38.5,45.5,3.9,8.8,0.0,2170-07-19,4,0.4,126.07,29.47,0
1189,38.5,45.5,3.9,8.8,0.0,2170-07-19,5,0.47,186.65,59.87,0
1400,44.2,36.8,3.9,10.6,0.0,2170-07-20,1,0.72,194.92,775.84,3
1401,44.2,36.8,3.9,10.6,0.0,2170-07-20,2,0.98,250.9,666.94,1
1402,44.2,36.8,3.9,10.6,0.0,2170-07-20,3,0.94,230.43,480.23,2
1403,44.2,36.8,3.9,10.6,0.0,2170-07-20,4,0.54,140.73,740.49,0
1404,44.2,36.8,3.9,10.6,0.0,2170-07-20,5,0.46,185.89,417.42,0
1515,39.1,55.7,3.4,8.0,0.0,2170-07-21,1,0.79,220.88,730.38,2
1516,39.1,55.7,3.4,8.0,0.0,2170-07-21,2,0.61,182.39,871.53,3
1517,39.1,55.7,3.4,8.0,0.0,2170-07-21,3,0.52,299.83,452.84,3
1518,39.1,55.7,3.4,8.0,0.0,2170-07-21,4,0.6,109.39,895.4,0
1519,39.1,55.7,3.4,8.0,0.0,2170-07-21,5,0.54,105.78,487.84,0
1620,40.3,35.6,3.6,8.6,0.0,2170-07-22,1,0.79,256.87,53.25,2
1621,40.3,35.6,3.6,8.6,0.0,2170-07-22,2,0.99,194.75,859.89,0
1622,40.3,35.6,3.6,8.6,0.0,2170-07-22,3,0.5,278.88,190.25,3
1623,40.3,35.6,3.6,8.6,0.0,2170-07-22,4,0.33,156.35,854.64,0
1624,40.3,35.6,3.6,8.6,0.0,2170-07-22,5,0.5,134.04,255.27,0
1735,40.7,36.1,6.3,17.9,0.0,2170-07-23,1,0.8,246.19,735.05,2
1736,40.7,36.1,6.3,17.9,0.0,2170-07-23,2,0.74,208.63,998.46,3
1737,40.7,36.1,6.3,17.9,0.0,2170-07-23,3,0.86,179.79,562.16,3
1738,40.7,36.1,6.3,17.9,0.0,2170-07-23,4,0.38,112.46,478.09,0
1739,40.7,36.1,6.3,17.9,0.0,2170-07-23,5,0.48,148.3,579.31,3
1850,37.6,46.9,6.2,13.1,0.0,2170-07-24,1,0.62,211.25,523.04,2
1851,37.6,46.9,6.2,13.1,0.0,2170-07-24,2,0.82,212.89,716.25,3
1852,37.6,46.9,6.2,13.1,0.0,2170-07-24,3,0.73,198.41,581.26,3
1853,37.6,46.9,6.2,13.1,0.0,2170-07-24,4,0.46,135.61,32.0,0
1854,37.6,46.9,6.2,13.1,0.0,2170-07-24,5,0.68,141.26,882.75,0
1965,35.0,51.6,6.9,12.0,0.0,2170-07-25,1,0.63,183.61,681.57,3
1966,35.0,51.6,6.9,12.0,0.0,2170-07-25,2,0.57,265.31,516.4,0
1967,35.0,51.6,6.9,12.0,0.0,2170-07-25,3,0.81,260.25,458.84,2
1968,35.0,51.6,6.9,12.0,0.0,2170-07-25,4,0.52,124.66,740.67,3
1969,35.0,51.6,6.9,12.0,0.0,2170-07-25,5,0.46,109.18,859.21,3
2080,35.8,52.5,3.7,9.2,0.0,2170-07-26,1,0.5,288.56,681.01,3
2081,35.8,52.5,3.7,9.2,0.0,2170-07-26,2,0.72,186.36,787.43,0
2082,35.8,52.5,3.7,9.2,0.0,2170-07-26,3,0.69,281.99,752.43,2
2083,35.8,52.5,3.7,9.2,0.0,2170-07-26,4,0.42,144.16,936.55,0
2084,35.8,52.5,3.7,9.2,0.0,2170-07-26,5,0.51,104.21,939.86,3
2195,34.8,43.2,3.0,8.7,0.1,2170-07-27,1,0.67,174.52,388.63,3
2196,34.8,43.2,3.0,8.7,0.1,2170-07-27,2,0.93,187.32,412.9,0
2197,34.8,43.2,3.0,8.7,0.1,2170-07-27,3,0.57,237.13,113.75,3
2198,34.8,43.2,3.0,8.7,0.1,2170-07-27,4,0.59,125.69,140.62,0
2199,34.8,43.2,3.0,8.7,0.1,2170-07-27,5,0.39,152.92,579.56,0
2305,31.0,51.0,3.0,5.6,0.1,2170-07-28,1,0.83,229.53,508.56,3
2306,31.0,51.0,3.0,5.6,0.1,2170-07-28,2,0.87,189.9,799.14,0
2307,31.0,51.0,3.0,5.6,0.1,2170-07-28,3,0.7,191.38,223.25,3
2308,31.0,51.0,3.0,5.6,0.1,2170-07-28,4,0.5,172.48,602.13,0
2309,31.0,51.0,3.0,5.6,0.1,2170-07-28,5,0.46,112.41,768.6,0
2410,35.5,51.2,2.1,4.1,0.0,2170-07-29,1,0.84,197.44,160.71,3
2411,35.5,51.2,2.1,4.1,0.0,2170-07-29,2,0.94,169.72,749.23,0
2412,35.5,51.2,2.1,4.1,0.0,2170-07-29,3,0.62,245.79,232.97,3
2413,35.5,51.2,2.1,4.1,0.0,2170-07-29,4,0.46,106.58,934.46,0
2414,35.5,51.2,2.1,4.1,0.0,2170-07-29,5,0.66,136.99,884.78,0
2630,33.2,53.5,4.4,10.3,0.0,2170-07-30,1,0.85,219.71,53.34,2
2631,33.2,53.5,4.4,10.3,0.0,2170-07-30,2,0.82,230.06,360.91,1
2632,33.2,53.5,4.4,10.3,0.0,2170-07-30,3,0.56,287.69,295.87,3
2633,33.2,53.5,4.4,10.3,0.0,2170-07-30,4,0.43,101.55,659.31,0
2634,33.2,53.5,4.4,10.3,0.0,2170-07-30,5,0.47,136.99,807.0,0
2700,29.1,64.2,5.1,10.8,0.0,2170-07-31,1,0.94,284.46,421.48,2
2701,29.1,64.2,5.1,10.8,0.0,2170-07-31,2,0.64,157.52,854.66,3
2702,29.1,64.2,5.1,10.8,0.0,2170-07-31,3,0.93,265.33,60.3,2
2703,29.1,64.2,5.1,10.8,0.0,2170-07-31,4,0.39,175.9,666.6,3
2704,29.1,64.2,5.1,10.8,0.0,2170-07-31,5,0.52,197.63,87.71,3
100,30.5,52.9,5.8,11.9,0.0,2170-08-01,1,0.59,285.21,603.98,3
101,30.5,52.9,5.8,11.9,0.0,2170-08-01,2,0.68,207.63,864.5,2
102,30.5,52.9,5.8,11.9,0.0,2170-08-01,3,0.65,213.17,618.76,2
103,30.5,52.9,5.8,11.9,0.0,2170-08-01,4,0.62,145.56,258.6,0
104,30.5,52.9,5.8,11.9,0.0,2170-08-01,5,0.48,117.72,617.35,0
1300,31.1,54.7,2.6,6.0,0.0,2170-08-02,1,0.74,210.87,747.4,2
1301,31.1,54.7,2.6,6.0,0.0,2170-08-02,2,0.59,267.04,451.96,3
1302,31.1,54.7,2.6,6.0,0.0,2170-08-02,3,0.52,296.22,104.2,3
1303,31.1,54.7,2.6,6.0,0.0,2170-08-02,4,0.68,125.6,68.45,3
1304,31.1,54.7,2.6,6.0,0.0,2170-08-02,5,0.37,174.8,281.45,0
2535,34.1,48.4,2.5,6.8,0.0,2170-08-03,1,0.69,213.14,25.95,2
2536,34.1,48.4,2.5,6.8,0.0,2170-08-03,2,0.5,278.48,138.9,0
2537,34.1,48.4,2.5,6.8,0.0,2170-08-03,3,0.88,174.63,743.1,3
2538,34.1,48.4,2.5,6.8,0.0,2170-08-03,4,0.41,104.18,132.78,0
2539,34.1,48.4,2.5,6.8,0.0,2170-08-03,5,0.41,173.81,454.9,0
2810,33.4,53.6,8.2,14.6,0.1,2170-08-04,1,0.9,282.18,602.3,2
2811,33.4,53.6,8.2,14.6,0.1,2170-08-04,2,0.88,240.94,838.98,1
2812,33.4,53.6,8.2,14.6,0.1,2170-08-04,3,0.8,192.58,797.33,3
2813,33.4,53.6,8.2,14.6,0.1,2170-08-04,4,0.54,158.92,151.87,0
2814,33.4,53.6,8.2,14.6,0.1,2170-08-04,5,0.46,143.38,915.93,0
2925,33.4,44.1,4.2,10.9,0.0,2170-08-05,1,0.63,277.64,362.99,3
2926,33.4,44.1,4.2,10.9,0.0,2170-08-05,2,0.75,159.71,632.75,0
2927,33.4,44.1,4.2,10.9,0.0,2170-08-05,3,0.59,205.81,570.68,3
2928,33.4,44.1,4.2,10.9,0.0,2170-08-05,4,0.33,152.07,11.27,0
2929,33.4,44.1,4.2,10.9,0.0,2170-08-05,5,0.37,198.07,619.4,0
3035,30.1,56.6,3.4,6.1,0.0,2170-08-06,1,0.91,206.91,531.63,3
3036,30.1,56.6,3.4,6.1,0.0,2170-08-06,2,0.67,161.02,412.39,0
3037,30.1,56.6,3.4,6.1,0.0,2170-08-06,3,0.61,154.61,750.84,3
3038,30.1,56.6,3.4,6.1,0.0,2170-08-06,4,0.42,194.13,42.09,0
3039,30.1,56.6,3.4,6.1,0.0,2170-08-06,5,0.57,121.82,647.8,0
3150,33.6,53.8,6.7,12.4,0.0,2170-08-07,1,0.68,157.77,398.88,3
3151,33.6,53.8,6.7,12.4,0.0,2170-08-07,2,0.89,220.57,235.97,1
3152,33.6,53.8,6.7,12.4,0.0,2170-08-07,3,0.57,292.64,292.76,3
3153,33.6,53.8,6.7,12.4,0.0,2170-08-07,4,0.54,110.05,688.95,0
3154,33.6,53.8,6.7,12.4,0.0,2170-08-07,5,0.33,109.17,226.44,3
3265,31.4,41.6,3.2,6.8,0.0,2170-08-08,1,0.91,284.0,632.63,2
3266,31.4,41.6,3.2,6.8,0.0,2170-08-08,2,0.75,233.42,289.57,2
3267,31.4,41.6,3.2,6.8,0.0,2170-08-08,3,0.92,285.36,399.53,2
3268,31.4,41.6,3.2,6.8,0.0,2170-08-08,4,0.64,102.54,460.49,3
3269,31.4,41.6,3.2,6.8,0.0,2170-08-08,5,0.64,146.25,867.76,0
3380,29.7,53.4,1.9,1.4,0.0,2170-08-09,1,0.89,192.8,22.89,3
3381,29.7,53.4,1.9,1.4,0.0,2170-08-09,2,0.97,264.69,178.91,0
3382,29.7,53.4,1.9,1.4,0.0,2170-08-09,3,0.88,247.0,478.83,3
3383,29.7,53.4,1.9,1.4,0.0,2170-08-09,4,0.33,142.16,135.94,3
3384,29.7,53.4,1.9,1.4,0.0,2170-08-09,5,0.57,181.53,677.07,3
980,33.2,45.3,2.9,6.4,0.0,2170-09-17,1,0.82,185.32,217.35,3
981,33.2,45.3,2.9,6.4,0.0,2170-09-17,2,0.97,247.3,891.82,2
982,33.2,45.3,2.9,6.4,0.0,2170-09-17,3,0.69,176.73,259.39,3
983,33.2,45.3,2.9,6.4,0.0,2170-09-17,4,0.54,184.1,527.77,0
984,33.2,45.3,2.9,6.4,0.0,2170-09-17,5,0.37,176.58,118.2,0
1090,31.3,65.0,4.8,10.2,0.0,2170-09-18,1,0.83,220.34,444.12,2
1091,31.3,65.0,4.8,10.2,0.0,2170-09-18,2,0.86,210.87,887.73,1
1092,31.3,65.0,4.8,10.2,0.0,2170-09-18,3,1.0,207.13,57.26,2
1093,31.3,65.0,4.8,10.2,0.0,2170-09-18,4,0.69,124.28,748.6,0
1094,31.3,65.0,4.8,10.2,0.0,2170-09-18,5,0.54,130.76,81.13,0
1200,31.2,61.7,10.6,17.8,0.0,2170-09-19,1,0.89,216.33,302.66,2
1201,31.2,61.7,10.6,17.8,0.0,2170-09-19,2,0.86,218.91,924.0,2
1202,31.2,61.7,10.6,17.8,0.0,2170-09-19,3,0.5,211.9,377.55,3
1203,31.2,61.7,10.6,17.8,0.0,2170-09-19,4,0.57,140.21,492.25,0
1204,31.2,61.7,10.6,17.8,0.0,2170-09-19,5,0.49,175.09,558.09,0
1415,29.9,55.2,6.1,12.9,0.1,2170-09-20,1,0.59,286.47,271.05,3
1416,29.9,55.2,6.1,12.9,0.1,2170-09-20,2,0.94,275.3,910.74,1
1417,29.9,55.2,6.1,12.9,0.1,2170-09-20,3,0.78,165.53,251.81,3
1418,29.9,55.2,6.1,12.9,0.1,2170-09-20,4,0.33,146.53,592.26,0
1419,29.9,55.2,6.1,12.9,0.1,2170-09-20,5,0.69,183.11,646.75,0
1530,29.9,51.5,3.8,7.6,0.0,2170-09-21,1,0.72,243.54,73.88,2
1531,29.9,51.5,3.8,7.6,0.0,2170-09-21,2,0.76,268.91,252.27,1
1532,29.9,51.5,3.8,7.6,0.0,2170-09-21,3,0.84,189.85,116.06,3
1533,29.9,51.5,3.8,7.6,0.0,2170-09-21,4,0.41,171.03,518.26,0
1534,29.9,51.5,3.8,7.6,0.0,2170-09-21,5,0.63,124.21,0.6,0
1635,30.7,52.2,2.1,5.0,0.0,2170-09-22,1,0.85,211.81,51.33,2
1636,30.7,52.2,2.1,5.0,0.0,2170-09-22,2,0.96,163.9,149.15,0
1637,30.7,52.2,2.1,5.0,0.0,2170-09-22,3,0.91,259.5,354.48,2
1638,30.7,52.2,2.1,5.0,0.0,2170-09-22,4,0.41,151.46,378.74,0
1639,30.7,52.2,2.1,5.0,0.0,2170-09-22,5,0.62,153.85,826.75,0
1750,32.7,53.3,1.5,3.0,0.0,2170-09-23,1,0.72,199.35,316.86,3
1751,32.7,53.3,1.5,3.0,0.0,2170-09-23,2,0.71,171.89,890.09,0
1752,32.7,53.3,1.5,3.0,0.0,2170-09-23,3,0.69,179.16,692.43,3
1753,32.7,53.3,1.5,3.0,0.0,2170-09-23,4,0.6,149.39,234.17,0
1754,32.7,53.3,1.5,3.0,0.0,2170-09-23,5,0.7,191.89,946.6,0
1865,33.9,37.9,2.7,8.9,0.0,2170-09-24,1,1.0,171.22,393.31,3
1866,33.9,37.9,2.7,8.9,0.0,2170-09-24,2,0.63,227.8,103.37,2
1867,33.9,37.9,2.7,8.9,0.0,2170-09-24,3,0.89,223.75,106.94,2
1868,33.9,37.9,2.7,8.9,0.0,2170-09-24,4,0.66,160.4,903.61,3
1869,33.9,37.9,2.7,8.9,0.0,2170-09-24,5,0.54,123.73,24.0,3
1980,36.2,50.3,3.2,11.2,0.0,2170-09-25,1,0.59,261.31,375.72,3
1981,36.2,50.3,3.2,11.2,0.0,2170-09-25,2,0.87,276.92,856.11,0
1982,36.2,50.3,3.2,11.2,0.0,2170-09-25,3,0.85,276.27,334.29,2
1983,36.2,50.3,3.2,11.2,0.0,2170-09-25,4,0.57,177.07,678.55,3
1984,36.2,50.3,3.2,11.2,0.0,2170-09-25,5,0.4,119.66,492.81,0
2095,31.4,50.8,1.8,2.3,0.0,2170-09-26,1,0.57,178.78,244.56,3
2096,31.4,50.8,1.8,2.3,0.0,2170-09-26,2,0.66,256.86,875.63,1
2097,31.4,50.8,1.8,2.3,0.0,2170-09-26,3,0.69,199.7,695.68,3
2098,31.4,50.8,1.8,2.3,0.0,2170-09-26,4,0.45,166.92,360.18,0
2099,31.4,50.8,1.8,2.3,0.0,2170-09-26,5,0.54,171.8,895.77,0
2210,33.4,47.3,4.2,10.7,0.0,2170-09-27,1,0.78,153.01,127.44,3
2211,33.4,47.3,4.2,10.7,0.0,2170-09-27,2,0.67,266.67,419.58,3
2212,33.4,47.3,4.2,10.7,0.0,2170-09-27,3,0.94,281.72,580.0,3
2213,33.4,47.3,4.2,10.7,0.0,2170-09-27,4,0.32,149.99,679.59,0
2214,33.4,47.3,4.2,10.7,0.0,2170-09-27,5,0.34,182.5,697.64,0
2320,31.3,46.7,2.5,7.0,0.0,2170-09-28,1,0.75,268.09,239.31,3
2321,31.3,46.7,2.5,7.0,0.0,2170-09-28,2,0.78,251.38,105.25,1
2322,31.3,46.7,2.5,7.0,0.0,2170-09-28,3,0.62,174.53,379.89,3
2323,31.3,46.7,2.5,7.0,0.0,2170-09-28,4,0.32,103.9,596.28,0
2324,31.3,46.7,2.5,7.0,0.0,2170-09-28,5,0.42,117.19,288.55,0
2425,30.0,54.7,7.1,11.0,0.0,2170-09-29,1,0.61,220.54,541.38,2
